,--aud,--constrained-intra,--intra-refresh,--no-asm,--slow-firstpass,--weightb,--aq-strength,--ipratio,--pbratio,--psy-rd,--qblur,--qcomp,--vbv-init,--aq-mode,--b-adapt,--bframes,--crf,--keyint,--lookahead-threads,--min-keyint,--qp,--qpstep,--qpmin,--qpmax,--rc-lookahead,--ref,--vbv-bufsize,--deblock,--me,--overscan,--preset,--scenecut,--tune
0,--aud,,,,--slow-firstpass,--weightb,3.0,1.4,1.3,0.4,0.6,0.7,0.6,1,0,8,50,210,3,29,10,5,2,66,28,6,1000,-2:-2,hex,crop,slower,40,ssim
1,,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,0.0,1.6,1.3,3.0,0.6,0.6,0.1,1,0,10,0,290,3,30,30,5,2,68,38,4,2000,-2:-2,dia,show,veryslow,0,grain
2,--aud,,,,,--weightb,2.0,1.5,1.4,2.8,0.6,0.6,0.3,0,2,2,30,290,2,24,10,5,4,65,48,1,2000,-2:-2,dia,show,ultrafast,30,grain
3,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,2.0,1.4,1.2,1.0,0.3,0.9,0.4,1,2,4,5,200,4,20,20,4,4,66,38,1,2000,1:1,umh,show,superfast,40,psnr
4,,--constrained-intra,,,,--no-weightb,1.0,1.0,1.1,2.2,0.4,0.6,0.3,3,1,14,45,290,0,21,30,3,4,63,18,5,2000,-2:-2,umh,crop,fast,0,grain
5,--aud,,,,--slow-firstpass,--weightb,2.0,1.2,1.4,2.8,0.5,0.6,0.9,0,2,6,10,200,0,28,30,4,4,67,38,4,1000,-1:-1,umh,show,medium,0,grain
6,--aud,--constrained-intra,,--no-asm,,--no-weightb,0.5,1.4,1.0,4.6,0.6,0.6,0.2,0,2,0,5,220,4,24,0,5,3,61,28,2,1000,-2:-2,umh,crop,ultrafast,0,psnr
7,,--constrained-intra,,,,--weightb,0.5,1.3,1.3,0.2,0.2,0.8,0.7,2,2,14,15,260,4,27,50,4,4,62,18,5,1000,-1:-1,dia,crop,medium,10,grain
8,--aud,--constrained-intra,,--no-asm,,--weightb,3.0,1.2,1.1,4.0,0.5,0.6,0.8,3,2,4,15,300,2,25,50,5,2,60,28,2,1000,-2:-2,dia,crop,placebo,40,psnr
9,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,0.0,1.6,1.1,0.8,0.3,0.9,0.5,2,0,2,0,270,4,29,50,5,3,69,28,2,2000,-1:-1,umh,crop,fast,0,grain
10,,,,,,--weightb,2.5,1.6,1.2,2.2,0.5,0.8,0.7,2,0,4,45,280,2,20,10,3,0,69,28,1,2000,-2:-2,dia,show,faster,10,psnr
11,,,,,,--weightb,1.5,1.2,1.0,1.2,0.3,0.7,0.7,1,2,4,5,240,0,25,10,3,2,69,28,6,1000,1:1,dia,show,slow,10,ssim
12,,,,--no-asm,--slow-firstpass,--weightb,3.0,1.0,1.2,0.4,0.2,0.7,0.6,2,1,4,25,210,2,20,40,4,4,65,48,5,2000,-2:-2,umh,crop,veryfast,0,animation
13,--aud,,,--no-asm,--slow-firstpass,--no-weightb,2.0,1.1,1.4,2.8,0.3,0.9,0.5,3,0,14,20,240,2,21,20,4,4,64,18,5,2000,-1:-1,hex,show,superfast,30,grain
14,,,,,,--no-weightb,1.5,1.6,1.1,4.8,0.5,0.8,0.1,3,1,16,35,200,3,25,20,3,0,63,18,1,2000,-1:-1,dia,show,medium,40,ssim
15,,,,,,--weightb,0.0,1.0,1.4,1.6,0.6,0.6,0.4,3,2,12,20,290,1,24,30,4,2,69,28,4,1000,-1:-1,hex,crop,faster,10,psnr
16,,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,0.5,1.4,1.3,1.2,0.6,0.9,0.8,1,2,4,0,270,0,20,50,3,0,66,18,2,1000,-2:-2,dia,show,slow,40,grain
17,,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,2.5,1.2,1.2,5.0,0.4,0.8,0.3,0,2,2,15,270,1,25,50,3,4,62,48,3,2000,-1:-1,umh,crop,slow,30,grain
18,--aud,,,--no-asm,,--weightb,1.5,1.2,1.4,4.0,0.4,0.7,0.5,0,0,16,35,250,0,24,10,4,1,66,28,2,2000,-2:-2,dia,crop,veryslow,40,grain
19,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,2.5,1.3,1.1,1.8,0.3,0.7,0.3,2,2,2,40,240,1,25,10,5,0,69,48,2,2000,-1:-1,umh,show,veryslow,40,ssim
20,--aud,,,,,--no-weightb,0.0,1.2,1.4,2.2,0.5,0.6,0.9,3,0,8,0,200,2,23,10,5,3,60,38,4,1000,-2:-2,hex,show,ultrafast,30,grain
21,--aud,,,,--slow-firstpass,--weightb,1.0,1.5,1.3,1.4,0.5,0.7,0.6,3,1,12,0,290,3,24,50,3,4,65,18,3,2000,1:1,umh,crop,slow,0,ssim
22,--aud,--constrained-intra,,--no-asm,,--no-weightb,0.5,1.0,1.0,3.0,0.2,0.6,0.6,3,0,0,40,200,1,22,0,4,0,63,18,1,1000,-1:-1,dia,crop,superfast,30,ssim
23,,--constrained-intra,,--no-asm,,--no-weightb,1.0,1.0,1.2,4.4,0.4,0.6,0.6,0,1,10,5,270,3,27,30,5,3,69,28,5,1000,1:1,hex,show,faster,30,ssim
24,--aud,--constrained-intra,,,--slow-firstpass,--no-weightb,2.5,1.2,1.2,4.4,0.4,0.7,0.3,0,2,8,15,240,1,30,10,4,3,64,28,2,2000,1:1,hex,show,placebo,30,ssim
25,--aud,,,--no-asm,,--no-weightb,1.5,1.6,1.4,4.2,0.4,0.9,0.0,1,1,14,50,260,0,24,20,5,2,69,48,5,2000,-1:-1,hex,show,medium,0,psnr
26,,--constrained-intra,,--no-asm,,--weightb,2.0,1.0,1.2,1.4,0.6,0.6,0.2,0,0,6,15,290,4,20,20,5,3,67,38,5,2000,-1:-1,hex,crop,ultrafast,0,psnr
27,,,,,--slow-firstpass,--weightb,2.0,1.0,1.0,4.0,0.5,0.8,0.5,0,2,0,25,250,2,20,40,5,4,60,38,2,1000,-1:-1,umh,crop,medium,40,grain
28,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,2.5,1.0,1.0,1.0,0.2,0.8,0.1,0,0,0,5,260,0,23,30,4,0,69,38,1,2000,-2:-2,hex,show,superfast,40,psnr
29,--aud,,,--no-asm,--slow-firstpass,--weightb,1.0,1.1,1.0,4.2,0.4,0.8,0.5,0,0,8,45,260,3,30,40,3,3,62,28,6,2000,-1:-1,hex,show,slow,0,psnr
30,,--constrained-intra,,,,--no-weightb,2.0,1.1,1.0,3.0,0.4,0.8,0.8,2,0,8,10,250,0,22,0,3,3,63,48,2,2000,-1:-1,umh,crop,ultrafast,40,animation
31,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,2.0,1.1,1.1,2.2,0.4,0.6,0.9,3,0,8,40,260,1,28,10,3,3,67,38,5,1000,-2:-2,hex,crop,fast,30,ssim
32,--aud,,,--no-asm,,--no-weightb,0.5,1.6,1.0,4.8,0.4,0.8,0.9,0,0,8,20,230,0,27,50,4,1,66,18,1,1000,-2:-2,hex,crop,ultrafast,10,psnr
33,--aud,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,0.0,1.6,1.2,2.6,0.2,0.9,0.9,0,2,6,5,270,3,27,0,5,4,68,28,2,2000,1:1,umh,show,superfast,0,grain
34,,,,,--slow-firstpass,--no-weightb,2.5,1.3,1.4,1.6,0.4,0.7,0.5,0,0,12,50,270,1,26,10,3,4,66,38,5,2000,1:1,hex,show,faster,0,grain
35,,,,,,--weightb,1.5,1.5,1.4,4.8,0.2,0.8,0.3,2,1,12,10,210,1,26,0,3,0,64,38,5,1000,1:1,umh,show,ultrafast,0,grain
36,--aud,--constrained-intra,,--no-asm,,--no-weightb,2.5,1.1,1.3,0.2,0.6,0.6,0.3,3,1,8,50,260,3,20,0,4,0,68,28,3,1000,-2:-2,hex,show,superfast,0,grain
37,,,,,,--no-weightb,1.5,1.6,1.2,2.4,0.4,0.7,0.7,0,1,4,35,280,3,20,20,5,2,62,18,2,2000,1:1,umh,show,slow,0,psnr
38,,,,,--slow-firstpass,--no-weightb,1.5,1.3,1.4,1.2,0.5,0.9,0.5,1,0,4,15,280,3,20,40,5,4,64,18,2,2000,-2:-2,hex,crop,placebo,30,grain
39,--aud,--constrained-intra,,,--slow-firstpass,--no-weightb,0.0,1.3,1.3,2.0,0.2,0.9,0.2,0,1,16,0,270,3,20,30,4,0,65,18,2,1000,1:1,dia,show,veryslow,10,ssim
40,--aud,--constrained-intra,,--no-asm,,--no-weightb,0.5,1.1,1.1,2.4,0.6,0.6,0.0,0,1,14,20,220,2,21,0,3,2,60,38,6,2000,-1:-1,hex,show,veryslow,30,ssim
41,--aud,,,--no-asm,--slow-firstpass,--no-weightb,2.0,1.3,1.3,2.6,0.4,0.8,0.3,1,1,8,45,250,3,30,20,3,3,62,38,2,2000,-1:-1,dia,show,faster,0,psnr
42,,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,2.5,1.4,1.3,3.6,0.4,0.7,0.6,0,2,4,20,240,1,27,30,5,0,66,48,4,1000,-1:-1,dia,show,superfast,10,animation
43,,,,,,--weightb,1.5,1.3,1.4,2.8,0.5,0.9,0.5,0,1,6,30,250,0,23,20,4,3,67,18,2,1000,1:1,hex,crop,veryslow,30,grain
44,--aud,,--intra-refresh,--no-asm,,--no-weightb,2.5,1.4,1.3,4.6,0.5,0.6,0.7,3,2,16,5,280,4,27,30,4,1,64,48,1,2000,1:1,hex,crop,placebo,0,animation
45,,,,,,--weightb,0.5,1.4,1.2,3.8,0.4,0.6,0.2,0,2,16,15,220,3,27,30,4,1,60,38,3,2000,-2:-2,umh,crop,veryslow,40,animation
46,--aud,,,,,--no-weightb,0.0,1.1,1.3,0.8,0.3,0.9,0.0,1,1,16,0,250,1,29,40,3,4,67,48,3,2000,-2:-2,dia,show,ultrafast,0,grain
47,,--constrained-intra,,--no-asm,--slow-firstpass,--no-weightb,0.5,1.6,1.3,2.8,0.2,0.8,0.1,1,0,16,30,260,0,20,40,5,0,62,28,6,1000,-1:-1,dia,show,medium,30,animation
48,,--constrained-intra,,--no-asm,--slow-firstpass,--weightb,0.0,1.5,1.0,3.0,0.3,0.8,0.2,1,1,6,45,240,0,21,20,5,1,60,38,3,2000,1:1,hex,crop,slower,0,ssim
49,--aud,,,,--slow-firstpass,--weightb,1.0,1.3,1.0,1.0,0.5,0.8,0.4,3,2,10,45,220,1,29,30,3,0,63,48,6,2000,1:1,hex,show,fast,40,ssim
50,--aud,--constrained-intra,,--no-asm,,--weightb,2.5,1.2,1.0,3.8,0.6,0.8,0.3,1,0,12,45,240,3,24,40,5,3,65,28,2,1000,-1:-1,hex,show,ultrafast,0,ssim
51,--aud,,,--no-asm,,--no-weightb,2.0,1.1,1.3,2.2,0.6,0.8,0.9,0,1,12,5,230,1,27,40,3,1,64,18,5,1000,-1:-1,dia,crop,veryslow,40,psnr
52,,,,,--slow-firstpass,--weightb,2.5,1.6,1.3,0.6,0.3,0.8,0.8,1,0,10,30,280,3,29,20,4,2,63,28,3,2000,-2:-2,hex,show,veryfast,10,ssim
53,,--constrained-intra,,,--slow-firstpass,--no-weightb,3.0,1.6,1.1,2.4,0.3,0.6,0.4,0,0,10,15,300,1,28,0,5,1,60,18,6,1000,-1:-1,hex,crop,veryfast,30,psnr
54,,,,--no-asm,,--weightb,2.0,1.4,1.0,4.2,0.4,0.8,0.3,2,0,2,20,220,4,22,40,4,1,64,38,1,2000,-2:-2,umh,crop,veryfast,40,psnr
55,,,,,,--no-weightb,0.0,1.1,1.3,3.2,0.5,0.7,0.0,2,1,14,40,230,4,22,10,5,4,65,48,2,1000,-2:-2,umh,crop,faster,0,psnr
56,,,,,,--weightb,2.0,1.1,1.0,0.2,0.3,0.8,0.5,0,2,4,35,200,2,26,0,4,1,68,18,1,2000,1:1,umh,show,fast,30,ssim
57,,,,,,--no-weightb,2.5,1.5,1.1,1.2,0.2,0.6,0.4,2,0,16,35,250,3,21,30,4,0,66,18,1,1000,1:1,umh,crop,medium,40,psnr
58,,,,--no-asm,,--no-weightb,0.0,1.2,1.1,4.6,0.6,0.7,0.9,2,0,14,30,260,3,29,30,3,4,65,38,2,2000,-1:-1,umh,crop,slower,0,psnr
59,,,,,--slow-firstpass,--no-weightb,2.5,1.0,1.0,2.8,0.2,0.9,0.5,2,1,14,40,300,4,24,10,5,3,64,28,6,2000,-2:-2,umh,crop,veryslow,0,psnr
60,,,,,--slow-firstpass,--weightb,1.5,1.1,1.0,0.6,0.6,0.8,0.7,2,0,12,0,300,1,29,20,5,2,64,18,5,2000,-2:-2,umh,show,veryfast,40,animation
61,--aud,--constrained-intra,,--no-asm,,--no-weightb,0.0,1.6,1.4,1.2,0.2,0.8,0.1,3,0,4,10,230,2,25,20,4,3,67,38,1,1000,-2:-2,dia,crop,medium,10,psnr
62,--aud,,,--no-asm,,--weightb,0.5,1.3,1.4,0.2,0.5,0.9,0.1,0,0,0,30,220,3,23,30,5,1,60,48,1,1000,1:1,dia,show,faster,10,ssim
